State,County,Hospital
SC,ABBEVILLE,1
LA,ACADIA,6
ID,ADA,11
KY,ADAIR,4
IN,ADAMS,20
VT,ADDISON,1
PR,AGUADILLA,1
PR,AIBONITO,1
SC,AIKEN,1
MN,AITKIN,1
FL,ALACHUA,6
NC,ALAMANCE,1
CA,ALAMEDA,27
CO,ALAMOSA,1
NY,ALBANY,8
VA,ALBEMARLE,4
MS,ALCORN,1
AK,ALEUTIANS WEST,1
NC,ALEXANDER,1
VA,ALEXANDRIA,1
MI,ALGER,1
IA,ALLAMAKEE,1
MI,ALLEGAN,2
NY,ALLEGANY,4
NC,ALLEGHANY,2
PA,ALLEGHENY,32
IN,ALLEN,22
SC,ALLENDALE,1
MI,ALPENA,1
CA,AMADOR,1
AK,ANCHORAGE,9
TN,ANDERSON,8
TX,ANDREWS,1
ME,ANDROSCOGGIN,2
TX,ANGELINA,4
MD,ANNE ARUNDEL,2
MN,ANOKA,2
NC,ANSON,2
NE,ANTELOPE,2
AZ,APACHE,4
IA,APPANOOSE,1
GA,APPLING,1
CO,ARAPAHOE,9
CO,ARCHULETA,1
PR,ARECIBO,2
MI,ARENAC,1
AR,ARKANSAS,2
VA,ARLINGTON,1
PA,ARMSTRONG,1
ME,AROOSTOOK,6
PR,ARROYO,1
LA,ASCENSION,6
NC,ASHE,1
WI,ASHLAND,2
AR,ASHLEY,1
OH,ASHTABULA,5
WA,ASOTIN,1
LA,ASSUMPTION,1
TX,ATASCOSA,1
KS,ATCHISON,2
OH,ATHENS,3
NJ,ATLANTIC,9
OK,ATOKA,1
MS,ATTALA,1
MO,AUDRAIN,1
IA,AUDUBON,1
OH,AUGLAIZE,1
VA,AUGUSTA,1
TX,AUSTIN,1
AL,AUTAUGA,1
NC,AVERY,1
LA,AVOYELLES,3
CO,BACA,1
GA,BACON,1
TX,BAILEY,1
FL,BAKER,3
AL,BALDWIN,6
MD,BALTIMORE,8
MD,BALTIMORE CITY,17
ID,BANNOCK,2
MI,BARAGA,1
KS,BARBER,3
AL,BARBOUR,2
ND,BARNES,1
MA,BARNSTABLE,4
SC,BARNWELL,1
KY,BARREN,1
WI,BARRON,3
GA,BARROW,1
MI,BARRY,3
IN,BARTHOLOMEW,1
KS,BARTON,4
GA,BARTOW,1
TX,BASTROP,1
MO,BATES,1
VA,BATH,1
AR,BAXTER,1
FL,BAY,8
PR,BAYAMON,6
TX,BAYLOR,1
SD,BEADLE,1
ID,BEAR LAKE,1
NC,BEAUFORT,6
LA,BEAUREGARD,2
OK,BEAVER,5
MT,BEAVERHEAD,1
MN,BECKER,1
OK,BECKHAM,2
TN,BEDFORD,3
VA,BEDFORD CITY,1
TX,BEE,1
NH,BELKNAP,1
TX,BELL,12
OH,BELMONT,4
MN,BELTRAMI,2
GA,BEN HILL,1
ID,BENEWAH,1
SD,BENNETT,1
VT,BENNINGTON,1
AR,BENTON,13
MI,BENZIE,1
NJ,BERGEN,10
WV,BERKELEY,2
PA,BERKS,6
MA,BERKSHIRE,4
NM,BERNALILLO,17
MI,BERRIEN,5
NC,BERTIE,1
AK,BETHEL,1
TX,BEXAR,47
AL,BIBB,9
LA,BIENVILLE,1
MT,BIG HORN,4
MN,BIG STONE,2
ID,BINGHAM,3
IA,BLACK HAWK,3
IN,BLACKFORD,1
NC,BLADEN,1
MT,BLAINE,4
PA,BLAIR,5
GA,BLECKLEY,1
TN,BLEDSOE,1
TN,BLOUNT,3
MN,BLUE EARTH,1
MS,BOLIVAR,1
SD,BON HOMME,2
IL,BOND,1
ID,BONNER,1
ID,BONNEVILLE,2
IN,BOONE,14
TX,BOSQUE,1
LA,BOSSIER,5
ND,BOTTINEAU,1
CO,BOULDER,6
ID,BOUNDARY,1
KS,BOURBON,2
TX,BOWIE,6
ND,BOWMAN,1
NE,BOX BUTTE,1
UT,BOX ELDER,2
NE,BOYD,2
KY,BOYLE,1
FL,BRADFORD,5
TN,BRADLEY,3
MI,BRANCH,1
WV,BRAXTON,1
TX,BRAZORIA,5
TX,BRAZOS,6
KY,BREATHITT,1
KY,BRECKINRIDGE,1
IA,BREMER,2
FL,BREVARD,11
TX,BREWSTER,1
MA,BRISTOL,12
MT,BROADWATER,1
NY,BRONX,15
WV,BROOKE,2
SD,BROOKINGS,1
GA,BROOKS,1
NY,BROOME,4
CO,BROOMFIELD,1
FL,BROWARD,28
KS,BROWN,19
SD,BRULE,1
NC,BRUNSWICK,3
OK,BRYAN,1
IA,BUCHANAN,6
PA,BUCKS,10
IA,BUENA VISTA,1
NE,BUFFALO,3
GA,BULLOCH,2
AL,BULLOCK,1
NC,BUNCOMBE,4
